id,docnumber,customername,itemname,transactiontype,InternalIndex,customerid,txndate,amt,isontheincentiveprogram,regionalsalesmanagername,industry,qty,Unit_Name,qtykg,qtypallets,itemid
29109,6120,MTS Foods & Spices Pty Ltd,Knoxx Tomato Extra Rich Puree A10,Invoice,2,104,20-09-2024,972,TRUE,Sutan,Distributor,27,Carton,469.8,0.5625,95
29109,6120,MTS Foods & Spices Pty Ltd,Coconoxx (RF) Fine Desiccated Coconut,Invoice,4,104,20-09-2024,204.1,TRUE,Sutan,Distributor,5,11.34 kg or 25 lb bag,56.7,0.15625,105
29109,6120,MTS Foods & Spices Pty Ltd,Knoxx Tomato Extra Rich Puree A10,Invoice,3,104,20-09-2024,756,TRUE,Sutan,Distributor,21,Carton,365.4,0.4375,95
29109,6120,MTS Foods & Spices Pty Ltd,Knoxx Tomato Paste A10 (6*3kg),Invoice,1,104,20-09-2024,2496,TRUE,Sutan,Distributor,48,Carton,864,1,3
29951,6277,MTS Foods & Spices Pty Ltd,Coconoxx (RF) Fine Desiccated Coconut,Invoice,1,104,23-10-2024,1233.79,TRUE,Sutan,Distributor,32,11.34 kg or 25 lb bag,362.88,1,105
30244,6324,MTS Foods & Spices Pty Ltd,Knoxx Diced Tomatoes A10,Invoice,3,104,04-11-2024,315,TRUE,Sutan,Distributor,7,Carton,121.8,0.145833333,175
30244,6324,MTS Foods & Spices Pty Ltd,Knoxx Diced Tomatoes A10,Invoice,2,104,04-11-2024,45,TRUE,Sutan,Distributor,1,Carton,17.4,0.020833333,175
30244,6324,MTS Foods & Spices Pty Ltd,Knoxx Crushed Tomatoes A9,Invoice,1,104,04-11-2024,2408,TRUE,Sutan,Distributor,56,Carton,840,1,85
31060,6461,MTS Foods & Spices Pty Ltd,Knoxx Diced Tomatoes A10,Invoice,2,104,05-12-2024,1080,TRUE,Sutan,Distributor,24,Carton,417.6,0.5,175
31060,6461,MTS Foods & Spices Pty Ltd,Knoxx Tomato Paste A10 (6*3kg),Invoice,1,104,05-12-2024,1248,TRUE,Sutan,Distributor,24,Carton,432,0.5,3
31615,6531,MTS Foods & Spices Pty Ltd,Knoxx Tomato Paste A10 (6*3kg),Invoice,2,104,24-12-2024,2496,TRUE,Sutan,Distributor,48,Carton,864,1,3
31615,6531,MTS Foods & Spices Pty Ltd,Knoxx Diced Tomatoes A10,Invoice,3,104,24-12-2024,2064,TRUE,Sutan,Distributor,48,Carton,835.2,1,175
31615,6531,MTS Foods & Spices Pty Ltd,Coconoxx (RF) Fine Desiccated Coconut,Invoice,1,104,24-12-2024,3701.38,TRUE,Sutan,Distributor,96,11.34 kg or 25 lb bag,1088.64,3,105
31790,6554,MTS Foods & Spices Pty Ltd,Knoxx Crushed Tomatoes A9,Invoice,1,104,06-01-2025,2408,TRUE,Sutan,Distributor,56,Carton,840,1,85
31997,6572,MTS Foods & Spices Pty Ltd,FoodKraft Dehydrated Potato Flakes Premium 250,Invoice,1,104,30-01-2025,495,TRUE,Sutan,Distributor,100,Kg,100,0.2,123
32458,6651,MTS Foods & Spices Pty Ltd,Coconoxx (HF) Fine Desiccated Coconut- SF,Invoice,1,104,30-01-2025,7293.89,TRUE,Sutan,Distributor,96,11.34 kg or 25 lb bag,1088.64,2,116
32731,6694,MTS Foods & Spices Pty Ltd,Knoxx Tomato Puree A10,Invoice,1,104,07-02-2025,1728,TRUE,Sutan,Distributor,48,Carton,835.2,1,2
35961,7205,MTS Foods & Spices Pty Ltd,Knoxx Tomato Paste A10 (6*3kg),Invoice,1,104,04-06-2025,2496,TRUE,Sutan,Distributor,48,Carton,864,1,3
35961,7205,MTS Foods & Spices Pty Ltd,Knoxx Crushed Tomatoes A9,Invoice,2,104,04-06-2025,2408,TRUE,Sutan,Distributor,56,Carton,840,1,85
23919,5212,Maharaja's Indian Supermarket,Koh Koh Premium Long Grain Parboiled Rice (I) 10kg,Invoice,5,109,06-02-2024,80,,Sutan,Manufacturer,2,10Kg Bag,20,0.02,167
23919,5212,Maharaja's Indian Supermarket,Rawayat Creamy Sella Rice 20kg,Invoice,4,109,06-02-2024,500,,Sutan,Manufacturer,10,20Kg Bag,200,0.2,81
23919,5212,Maharaja's Indian Supermarket,Knoxx Tomato Paste 3 KG (3*3),Invoice,3,109,06-02-2024,501.6,,Sutan,Manufacturer,20,Carton,180,0.208333333,93
23919,5212,Maharaja's Indian Supermarket,Foodkraft Kibbled White Onion,Invoice,1,109,06-02-2024,600,,Sutan,Manufacturer,100,Kg,100,0.208333333,73
23919,5212,Maharaja's Indian Supermarket,FoodKraft Fried Onion coated,Invoice,2,109,06-02-2024,195,,Sutan,Manufacturer,30,Kg,30,0.0625,107
24705,5359,Maharaja's Indian Supermarket,Knoxx Tomato Paste 28 -30 brix 10kg*2,Invoice,1,109,15-03-2024,561,,Sutan,Manufacturer,10,Carton,200,0.208333333,90
24705,5359,Maharaja's Indian Supermarket,FoodKraft Dehydrated White Onion Chopped,Invoice,3,109,15-03-2024,1200,,Sutan,Manufacturer,200,Kg,200,0.3125,155
24705,5359,Maharaja's Indian Supermarket,Knoxx Diced Tomatoes 17.5Kg,Invoice,2,109,15-03-2024,435,,Sutan,Manufacturer,12,Carton,210,0.25,160
25740,5525,Maharaja's Indian Supermarket,Knoxx Passata Tomato Puree 20 kg,Invoice,2,109,30-04-2024,788.5,,Sutan,Manufacturer,19,Carton,380,0.395833333,92
25740,5525,Maharaja's Indian Supermarket,Knoxx Tomato Paste 28 -30 brix 10kg*2,Invoice,1,109,30-04-2024,1402.5,,Sutan,Manufacturer,25,Carton,500,0.520833333,90
25740,5525,Maharaja's Indian Supermarket,Knoxx Passata Tomato Puree 20 kg,Invoice,3,109,30-04-2024,249,,Sutan,Manufacturer,6,Carton,120,0.125,92
28212,5967,Maharaja's Indian Supermarket,Foodkraft Kibbled White Onion,Invoice,2,109,15-08-2024,1200,,Sutan,Manufacturer,200,Kg,200,0.416666667,73
28212,5967,Maharaja's Indian Supermarket,FoodKraft Fried Onion coated,Invoice,3,109,15-08-2024,390,,Sutan,Manufacturer,60,Kg,60,0.125,107
28212,5967,Maharaja's Indian Supermarket,Knoxx Tomato Extra Rich Puree A10,Invoice,4,109,15-08-2024,560.25,,Sutan,Manufacturer,15,Carton,261,0.3125,95
28212,5967,Maharaja's Indian Supermarket,Knoxx Tomato Paste 28 -30 brix 10kg*2,Invoice,1,109,15-08-2024,841.5,,Sutan,Manufacturer,15,Carton,300,0.3125,90
29853,6265,Maharaja's Indian Supermarket,Knoxx Passata Tomato Puree 20 kg,Invoice,2,109,18-10-2024,415,,Sutan,Manufacturer,10,Carton,200,0.208333333,92
29853,6265,Maharaja's Indian Supermarket,Knoxx Tomato Paste 28 -30 brix 10kg*2,Invoice,1,109,18-10-2024,561,,Sutan,Manufacturer,10,Carton,200,0.208333333,90
30573,6376,Maharaja's Indian Supermarket,FoodKraft Fried Onion coated,Invoice,2,109,15-11-2024,130,,Sutan,Manufacturer,20,Kg,20,0.041666667,107
30573,6376,Maharaja's Indian Supermarket,Knoxx Tomato Paste 28 -30 brix 10kg*2,Invoice,3,109,15-11-2024,561,,Sutan,Manufacturer,10,Carton,200,0.208333333,90
30573,6376,Maharaja's Indian Supermarket,FoodKraft Dehydrated White Onion Chopped,Invoice,1,109,15-11-2024,720,,Sutan,Manufacturer,120,Kg,120,0.1875,155
30716,6403,Maharaja's Indian Supermarket,FoodKraft Fried Onion coated,Invoice,1,109,21-11-2024,58.5,,Sutan,Manufacturer,9,Kg,9,0.01875,107
30724,6405,Maharaja's Indian Supermarket,FoodKraft Fried Onion coated,Invoice,1,109,21-11-2024,97.5,,Sutan,Manufacturer,15,Kg,15,0.03125,107
31522,6513,Maharaja's Indian Supermarket,FoodKraft Fried Onion coated,Invoice,3,109,18-12-2024,390,,Sutan,Manufacturer,60,Kg,60,0.125,107
31522,6513,Maharaja's Indian Supermarket,Knoxx Diced Tomatoes A10,Invoice,1,109,18-12-2024,390,,Sutan,Manufacturer,10,Carton,174,0.208333333,175
31522,6513,Maharaja's Indian Supermarket,FoodKraft Dehydrated White Onion Chopped,Invoice,2,109,18-12-2024,480,,Sutan,Manufacturer,80,Kg,80,0.125,155
31566,6521,Maharaja's Indian Supermarket,Knoxx Diced Tomatoes A10,Invoice,3,109,20-12-2024,195,,Sutan,Manufacturer,5,Carton,87,0.104166667,175
31566,6521,Maharaja's Indian Supermarket,Knoxx Tomato Paste 28 -30 brix 10kg*2,Invoice,2,109,20-12-2024,448.8,,Sutan,Manufacturer,8,Carton,160,0.166666667,90
31566,6521,Maharaja's Indian Supermarket,Knoxx Tomato Paste 28 -30 brix 10kg*2,Invoice,1,109,20-12-2024,392.7,,Sutan,Manufacturer,7,Carton,140,0.145833333,90
32194,6611,Maharaja's Indian Supermarket,Knoxx Tomato Paste 28 -30 brix 10kg*2,Invoice,4,109,17-01-2025,841.5,,Sutan,Manufacturer,15,Carton,300,0.3125,90
32194,6611,Maharaja's Indian Supermarket,Foodkraft Kibbled White Onion,Invoice,1,109,17-01-2025,1200,,Sutan,Manufacturer,200,Kg,200,0.416666667,73
32194,6611,Maharaja's Indian Supermarket,FoodKraft Fried Onion coated,Invoice,2,109,17-01-2025,195,,Sutan,Manufacturer,30,Kg,30,0.0625,107
32194,6611,Maharaja's Indian Supermarket,Knoxx Passata Tomato Puree 20 kg,Invoice,3,109,17-01-2025,207.5,,Sutan,Manufacturer,5,Carton,100,0.104166667,92
32476,6654,Maharaja's Indian Supermarket,Knoxx Diced Tomatoes A10,Invoice,1,109,30-01-2025,5328,,Sutan,Manufacturer,144,Carton,2505.6,3,175
34551,6975,Maharaja's Indian Supermarket,FoodKraft Fried Onion coated,Invoice,1,109,15-04-2025,195,,Sutan,Manufacturer,30,Kg,30,0.0625,107
34551,6975,Maharaja's Indian Supermarket,Foodkraft Kibbled White Onion,Invoice,2,109,15-04-2025,480,,Sutan,Manufacturer,80,Kg,80,0.166666667,73
34551,6975,Maharaja's Indian Supermarket,Knoxx Tomato Paste 28 -30 brix 10kg*2,Invoice,3,109,15-04-2025,561,,Sutan,Manufacturer,10,Carton,200,0.208333333,90
34551,6975,Maharaja's Indian Supermarket,FoodKraft Fried Onion Powder,Invoice,4,109,15-04-2025,145,,Sutan,Manufacturer,20,Kg,20,0.03125,162
35663,7156,Maharaja's Indian Supermarket,Knoxx Tomato Paste 28 -30 brix 10kg*2,Invoice,1,109,27-05-2025,1122,,Sutan,Manufacturer,20,Carton,400,0.416666667,90
35663,7156,Maharaja's Indian Supermarket,Rawayat Premium Rice 20kg,Invoice,2,109,27-05-2025,45,,Sutan,Manufacturer,1,20Kg Bag,20,0.02,9
35663,7156,Maharaja's Indian Supermarket,Rawayat Golden Sella 20 Kg,Invoice,3,109,27-05-2025,225,,Sutan,Manufacturer,5,20Kg Bag,100,0.1,192
36114,7233,Maharaja's Indian Supermarket,Foodkraft Kibbled White Onion,Invoice,1,109,12-06-2025,720,,Sutan,Manufacturer,120,Kg,120,0.25,73
36305,7276,Maharaja's Indian Supermarket,Foodkraft Kibbled White Onion,Invoice,1,109,19-06-2025,360,,Sutan,Manufacturer,60,Kg,60,0.125,73
23325,5113,MKS Foods,Knoxx Tomato Paste A10 (6*3kg),Invoice,1,111,10-01-2024,260,FALSE,Sutan,Distributor,5,Carton,90,0.104166667,3
23325,5113,MKS Foods,Knoxx Tomato Puree A10,Invoice,2,111,10-01-2024,180,FALSE,Sutan,Distributor,5,Carton,87,0.104166667,2
23836,5194,MKS Foods,Knoxx Tomato Puree A10,Invoice,1,111,31-01-2024,216,FALSE,Sutan,Distributor,6,Carton,104.4,0.125,2
24447,5310,MKS Foods,Knoxx Tomato Paste A10 (6*3kg),Invoice,1,111,04-03-2024,260,FALSE,Sutan,Distributor,5,Carton,90,0.104166667,3
24447,5310,MKS Foods,Knoxx Tomato Puree A10,Invoice,2,111,04-03-2024,180,FALSE,Sutan,Distributor,5,Carton,87,0.104166667,2
25491,5477,MKS Foods,Knoxx Tomato Paste A10 (6*3kg),Invoice,1,111,17-04-2024,260,FALSE,Sutan,Distributor,5,Carton,90,0.104166667,3
25491,5477,MKS Foods,Knoxx Tomato Extra Rich Puree A10,Invoice,2,111,17-04-2024,180,FALSE,Sutan,Distributor,5,Carton,87,0.104166667,95
25491,5477,MKS Foods,Knoxx Crushed Tomatoes A9,Invoice,3,111,17-04-2024,43,FALSE,Sutan,Distributor,1,Carton,15,0.017857143,85
26178,5608,MKS Foods,Knoxx Tomato Extra Rich Puree A10,Invoice,2,111,21-05-2024,144,FALSE,Sutan,Distributor,4,Carton,69.6,0.083333333,95
26178,5608,MKS Foods,Knoxx Tomato Paste A10 (6*3kg),Invoice,1,111,21-05-2024,208,FALSE,Sutan,Distributor,4,Carton,72,0.083333333,3
27417,5824,MKS Foods,Knoxx Tomato Paste A10 (6*3kg),Invoice,1,111,12-07-2024,208,FALSE,Sutan,Distributor,4,Carton,72,0.083333333,3
27417,5824,MKS Foods,Knoxx Tomato Extra Rich Puree A10,Invoice,2,111,12-07-2024,144,FALSE,Sutan,Distributor,4,Carton,69.6,0.083333333,95
28078,5939,MKS Foods,Coconoxx (RF) Fine Desiccated Coconut,Invoice,3,111,08-08-2024,396.9,FALSE,Sutan,Distributor,10,11.34 kg or 25 lb bag,113.4,0.3125,105
28078,5939,MKS Foods,Knoxx Tomato Paste A10 (6*3kg),Invoice,1,111,08-08-2024,208,FALSE,Sutan,Distributor,4,Carton,72,0.083333333,3
28078,5939,MKS Foods,Knoxx Tomato Extra Rich Puree A10,Invoice,2,111,08-08-2024,144,FALSE,Sutan,Distributor,4,Carton,69.6,0.083333333,95
28978,6095,MKS Foods,Knoxx Crushed Tomatoes A9,Invoice,3,111,12-09-2024,86,FALSE,Sutan,Distributor,2,Carton,30,0.035714286,85
28978,6095,MKS Foods,Knoxx Tomato Paste A10 (6*3kg),Invoice,1,111,12-09-2024,208,FALSE,Sutan,Distributor,4,Carton,72,0.083333333,3
28978,6095,MKS Foods,Knoxx Tomato Puree A10,Invoice,2,111,12-09-2024,144,FALSE,Sutan,Distributor,4,Carton,69.6,0.083333333,2
30714,6402,MKS Foods,Knoxx Tomato Puree A10,Invoice,2,111,20-11-2024,144,FALSE,Sutan,Distributor,4,Carton,69.6,0.083333333,2
30714,6402,MKS Foods,Knoxx Tomato Paste A10 (6*3kg),Invoice,1,111,20-11-2024,208,FALSE,Sutan,Distributor,4,Carton,72,0.083333333,3
31136,6463,MKS Foods,Knoxx Tomato Puree A10,Invoice,1,111,04-12-2024,144,FALSE,Sutan,Distributor,4,Carton,69.6,0.083333333,2
32022,6581,MKS Foods,Knoxx Tomato Puree A10,Invoice,2,111,10-01-2025,36,FALSE,Sutan,Distributor,1,Carton,17.4,0.020833333,2
32022,6581,MKS Foods,Knoxx Tomato Paste A10 (6*3kg),Invoice,1,111,10-01-2025,208,FALSE,Sutan,Distributor,4,Carton,72,0.083333333,3
32022,6581,MKS Foods,Knoxx Tomato Puree A10,Invoice,3,111,10-01-2025,108,FALSE,Sutan,Distributor,3,Carton,52.2,0.0625,2
32674,6685,MKS Foods,Knoxx Tomato Paste A10 (6*3kg),Invoice,1,111,05-02-2025,208,FALSE,Sutan,Distributor,4,Carton,72,0.083333333,3
33677,6828,MKS Foods,Knoxx Tomato Paste A10 (6*3kg),Invoice,1,111,11-03-2025,208,FALSE,Sutan,Distributor,4,Carton,72,0.083333333,3
23458,5134,Beyond India,FoodKraft Garlic Granules 8-16 mesh,Invoice,3,147,18-01-2024,220,,Sutan,Manufacturer,50,Kg,50,0.083333333,66
23458,5134,Beyond India,Foodkraft Kibbled White Onion,Invoice,2,147,18-01-2024,250,,Sutan,Manufacturer,40,Kg,40,0.083333333,73
23458,5134,Beyond India,Knoxx Tomato Paste 28 -30 brix 10kg*2,Invoice,1,147,18-01-2024,2712,,Sutan,Manufacturer,48,Carton,960,1,90
24013,5229,Beyond India,FoodKraft Garlic Granules 8-16 mesh,Invoice,3,147,13-02-2024,220,,Sutan,Manufacturer,50,Kg,50,0.083333333,66
24013,5229,Beyond India,Knoxx Tomato Paste 28 -30 brix 10kg*2,Invoice,1,147,13-02-2024,2712,,Sutan,Manufacturer,48,Carton,960,1,90
24013,5229,Beyond India,Foodkraft Kibbled White Onion,Invoice,2,147,13-02-2024,375,,Sutan,Manufacturer,60,Kg,60,0.125,73
24328,5288,Beyond India,Knoxx Tomato Paste 24-26 brix 10kg*2,Invoice,4,147,29-02-2024,424,,Sutan,Manufacturer,8,Carton,160,0.166666667,166
24328,5288,Beyond India,FoodKraft Garlic Granules 8-16 mesh,Invoice,3,147,29-02-2024,220,,Sutan,Manufacturer,50,Kg,50,0.083333333,66
24328,5288,Beyond India,Coconoxx Coconut Cream 20kg,Invoice,2,147,29-02-2024,468,,Sutan,Manufacturer,6,Carton,120,0.125,71
24328,5288,Beyond India,Knoxx Tomato Paste 28 -30 brix 10kg*2,Invoice,1,147,29-02-2024,2712,,Sutan,Manufacturer,48,Carton,960,1,90
24848,5383,Beyond India,Knoxx Tomato Paste 28 -30 brix 10kg*2,Invoice,1,147,27-03-2024,2712,,Sutan,Manufacturer,48,Carton,960,1,90
24848,5383,Beyond India,Coconoxx Coconut Cream 20kg,Invoice,2,147,27-03-2024,312,,Sutan,Manufacturer,4,Carton,80,0.083333333,71
24848,5383,Beyond India,FoodKraft Ginger Granules,Invoice,4,147,27-03-2024,188,,Sutan,Manufacturer,20,Kg,20,0.025,115
24848,5383,Beyond India,FoodKraft Dehydrated White Onion Chopped,Invoice,3,147,27-03-2024,250,,Sutan,Manufacturer,40,Kg,40,0.0625,155
24848,5383,Beyond India,FoodKraft Garlic Granules 8-16 mesh,Invoice,5,147,27-03-2024,220,,Sutan,Manufacturer,50,Kg,50,0.083333333,66
25250,5436,Beyond India,Knoxx Tomato Paste 28 -30 brix 10kg*2,Invoice,1,147,08-04-2024,3164,,Sutan,Manufacturer,56,Carton,1120,1.166666667,90
25653,5512,Beyond India,FoodKraft Garlic Granules 8-16 mesh,Invoice,3,147,26-04-2024,230,,Sutan,Manufacturer,50,Kg,50,0.083333333,66
25653,5512,Beyond India,Knoxx Tomato Paste 28 -30 brix 10kg*2,Invoice,1,147,26-04-2024,2712,,Sutan,Manufacturer,48,Carton,960,1,90
25653,5512,Beyond India,FoodKraft Ginger Granules,Invoice,4,147,26-04-2024,188,,Sutan,Manufacturer,20,Kg,20,0.025,115
25653,5512,Beyond India,Foodkraft Kibbled White Onion,Invoice,2,147,26-04-2024,250,,Sutan,Manufacturer,40,Kg,40,0.083333333,73
26048,5579,Beyond India,Coconoxx Coconut Cream 20kg,Invoice,3,147,16-05-2024,156,,Sutan,Manufacturer,2,Carton,40,0.041666667,71
26048,5579,Beyond India,FoodKraft Garlic Granules 8-16 mesh,Invoice,2,147,16-05-2024,115,,Sutan,Manufacturer,25,Kg,25,0.041666667,66
26048,5579,Beyond India,Knoxx Tomato Paste 28 -30 brix 10kg*2,Invoice,1,147,16-05-2024,2712,,Sutan,Manufacturer,48,Carton,960,1,90
26383,5653,Beyond India,Knoxx Tomato Paste 28 -30 brix 10kg*2,Invoice,1,147,04-06-2024,2712,,Sutan,Manufacturer,48,Carton,960,1,90
26383,5653,Beyond India,Foodkraft Kibbled White Onion,Invoice,2,147,04-06-2024,250,,Sutan,Manufacturer,40,Kg,40,0.083333333,73
26383,5653,Beyond India,FoodKraft Ginger Granules,Invoice,4,147,04-06-2024,188,,Sutan,Manufacturer,20,Kg,20,0.025,115
26383,5653,Beyond India,FoodKraft Garlic Granules 8-16 mesh,Invoice,3,147,04-06-2024,115,,Sutan,Manufacturer,25,Kg,25,0.041666667,66
26383,5653,Beyond India,Coconoxx Coconut Cream 20kg,Invoice,5,147,04-06-2024,156,,Sutan,Manufacturer,2,Carton,40,0.041666667,71
26832,5720,Beyond India,Knoxx Tomato Paste 28 -30 brix 10kg*2,Invoice,1,147,21-06-2024,2712,,Sutan,Manufacturer,48,Carton,960,1,90
26832,5720,Beyond India,FoodKraft Garlic Granules 8-16 mesh,Invoice,2,147,21-06-2024,115,,Sutan,Manufacturer,25,Kg,25,0.041666667,66
26832,5720,Beyond India,Coconoxx Coconut Cream 20kg,Invoice,4,147,21-06-2024,156,,Sutan,Manufacturer,2,Carton,40,0.041666667,71
26832,5720,Beyond India,Foodkraft Kibbled White Onion,Invoice,3,147,21-06-2024,375,,Sutan,Manufacturer,60,Kg,60,0.125,73
27368,5810,Beyond India,Knoxx Tomato Paste 28 -30 brix 10kg*2,Invoice,1,147,11-07-2024,2712,,Sutan,Manufacturer,48,Carton,960,1,90
27368,5810,Beyond India,Coconoxx Coconut Cream 20kg,Invoice,2,147,11-07-2024,156,,Sutan,Manufacturer,2,Carton,40,0.041666667,71
27368,5810,Beyond India,Foodkraft Kibbled White Onion,Invoice,4,147,11-07-2024,125,,Sutan,Manufacturer,20,Kg,20,0.041666667,73
27368,5810,Beyond India,FoodKraft Garlic Granules 8-16 mesh,Invoice,3,147,11-07-2024,115,,Sutan,Manufacturer,25,Kg,25,0.041666667,66
27798,5885,Beyond India,Knoxx Tomato Paste 28 -30 brix 10kg*2,Invoice,1,147,31-07-2024,2712,,Sutan,Manufacturer,48,Carton,960,1,90
27798,5885,Beyond India,FoodKraft Garlic Granules 8-16 mesh,Invoice,2,147,31-07-2024,115,,Sutan,Manufacturer,25,Kg,25,0.041666667,66
27798,5885,Beyond India,Coconoxx Coconut Cream (WA) 20kg,Invoice,3,147,31-07-2024,234,,Sutan,Manufacturer,3,Carton,60,0.0625,117
28088,5941,Beyond India,FoodKraft Garlic Granules 8-16 mesh,Invoice,2,147,12-08-2024,115,,Sutan,Manufacturer,25,Kg,25,0.041666667,66
28088,5941,Beyond India,Coconoxx Coconut Cream (WA) 20kg,Invoice,3,147,12-08-2024,234,,Sutan,Manufacturer,3,Carton,60,0.0625,117
28088,5941,Beyond India,Foodkraft Kibbled White Onion,Invoice,4,147,12-08-2024,125,,Sutan,Manufacturer,20,Kg,20,0.041666667,73
28088,5941,Beyond India,Knoxx Tomato Paste 28 -30 brix 10kg*2,Invoice,1,147,12-08-2024,2712,,Sutan,Manufacturer,48,Carton,960,1,90
28438,6015,Beyond India,Coconoxx Coconut Cream (WA) 20kg,Invoice,4,147,26-08-2024,156,,Sutan,Manufacturer,2,Carton,40,0.041666667,117
28438,6015,Beyond India,Knoxx Tomato Paste 28 -30 brix 10kg*2,Invoice,1,147,26-08-2024,2712,,Sutan,Manufacturer,48,Carton,960,1,90
28438,6015,Beyond India,FoodKraft Garlic Granules 8-16 mesh,Invoice,2,147,26-08-2024,230,,Sutan,Manufacturer,50,Kg,50,0.083333333,66
28438,6015,Beyond India,Foodkraft Kibbled White Onion,Invoice,5,147,26-08-2024,250,,Sutan,Manufacturer,40,Kg,40,0.083333333,73
28438,6015,Beyond India,FoodKraft Ginger Granules,Invoice,3,147,26-08-2024,188,,Sutan,Manufacturer,20,Kg,20,0.025,115
28634,6057,Beyond India,FoodKraft Garlic Granules 8-16 mesh,Invoice,2,147,03-09-2024,115,,Sutan,Manufacturer,25,Kg,25,0.041666667,66
28634,6057,Beyond India,Knoxx Tomato Paste 28 -30 brix 10kg*2,Invoice,1,147,03-09-2024,2712,,Sutan,Manufacturer,48,Carton,960,1,90
28634,6057,Beyond India,Foodkraft Kibbled White Onion,Invoice,3,147,03-09-2024,250,,Sutan,Manufacturer,40,Kg,40,0.083333333,73
29187,6135,Beyond India,FoodKraft Garlic Granules 8-16 mesh,Invoice,3,147,24-09-2024,115,,Sutan,Manufacturer,25,Kg,25,0.041666667,66
29187,6135,Beyond India,Knoxx Tomato Paste 28 -30 brix 10kg*2,Invoice,1,147,24-09-2024,2599,,Sutan,Manufacturer,46,Carton,920,0.958333333,90
29187,6135,Beyond India,Knoxx Tomato Paste 28 -30 brix 10kg*2,Invoice,2,147,24-09-2024,113,,Sutan,Manufacturer,2,Carton,40,0.041666667,90
29187,6135,Beyond India,Coconoxx Coconut Cream (WA) 20kg,Invoice,4,147,24-09-2024,144,,Sutan,Manufacturer,3,Carton,60,0.0625,117
29637,6225,Beyond India,Foodkraft Kibbled White Onion,Invoice,3,147,11-10-2024,500,,Sutan,Manufacturer,80,Kg,80,0.166666667,73
29637,6225,Beyond India,Knoxx Tomato Paste 28 -30 brix 10kg*2,Invoice,1,147,11-10-2024,2712,,Sutan,Manufacturer,48,Carton,960,1,90
